,episode,make_span,reward,min_make_span
0,0.0,1096.0,-57.23469387755104,1096.0
1,0.0,1158.0,-63.56122448979593,1096.0
2,0.0,1069.0,-54.479591836734684,1069.0
3,1.0,1102.0,-57.84693877551022,1069.0
4,1.0,1184.0,-66.21428571428572,1069.0
5,1.0,1100.0,-57.64285714285717,1069.0
6,2.0,1200.0,-67.8469387755102,1069.0
7,2.0,1178.0,-65.60204081632654,1069.0
8,2.0,1068.0,-54.37755102040818,1068.0
9,3.0,1181.0,-65.90816326530614,1068.0
10,3.0,1416.0,-89.88775510204083,1068.0
11,3.0,1235.0,-71.41836734693878,1068.0
12,4.0,1113.0,-58.96938775510205,1068.0
13,4.0,1103.0,-57.948979591836746,1068.0
14,4.0,1124.0,-60.09183673469389,1068.0
15,5.0,1062.0,-53.76530612244899,1062.0
16,5.0,1219.0,-69.78571428571429,1062.0
17,5.0,1148.0,-62.54081632653062,1062.0
18,6.0,1297.0,-77.74489795918369,1062.0
19,6.0,1107.0,-58.357142857142854,1062.0
20,6.0,1156.0,-63.35714285714287,1062.0
21,7.0,1054.0,-52.94897959183675,1054.0
22,7.0,1129.0,-60.60204081632653,1054.0
23,7.0,1217.0,-69.58163265306122,1054.0
24,8.0,1165.0,-64.27551020408164,1054.0
25,8.0,1144.0,-62.13265306122448,1054.0
26,8.0,1075.0,-55.091836734693864,1054.0
27,9.0,1224.0,-70.29591836734694,1054.0
28,9.0,1103.0,-57.94897959183674,1054.0
29,9.0,1302.0,-78.25510204081635,1054.0
30,10.0,1180.0,-65.80612244897962,1054.0
31,10.0,1093.0,-56.92857142857142,1054.0
32,10.0,1172.0,-64.98979591836736,1054.0
33,11.0,1259.0,-73.86734693877553,1054.0
34,11.0,1111.0,-58.76530612244899,1054.0
35,11.0,1152.0,-62.948979591836725,1054.0
36,12.0,1261.0,-74.07142857142858,1054.0
37,12.0,1170.0,-64.78571428571428,1054.0
38,12.0,1313.0,-79.37755102040815,1054.0
39,13.0,1155.0,-63.25510204081633,1054.0
40,13.0,1181.0,-65.9081632653061,1054.0
41,13.0,1303.0,-78.35714285714286,1054.0
42,14.0,1103.0,-57.948979591836746,1054.0
43,14.0,1261.0,-74.07142857142857,1054.0
44,14.0,1131.0,-60.80612244897961,1054.0
45,15.0,1246.0,-72.5408163265306,1054.0
46,15.0,1170.0,-64.78571428571429,1054.0
47,15.0,1121.0,-59.78571428571429,1054.0
48,16.0,1169.0,-64.68367346938774,1054.0
49,16.0,1110.0,-58.66326530612245,1054.0
50,16.0,1109.0,-58.561224489795926,1054.0
51,17.0,1159.0,-63.66326530612246,1054.0
52,17.0,1325.0,-80.60204081632655,1054.0
53,17.0,1136.0,-61.316326530612244,1054.0
54,18.0,1085.0,-56.1122448979592,1054.0
55,18.0,1117.0,-59.37755102040818,1054.0
56,18.0,1186.0,-66.41836734693881,1054.0
57,19.0,1190.0,-66.8265306122449,1054.0
58,19.0,1089.0,-56.520408163265316,1054.0
59,19.0,1047.0,-52.234693877551024,1047.0
60,20.0,1233.0,-71.21428571428572,1047.0
61,20.0,1131.0,-60.806122448979615,1047.0
62,20.0,1130.0,-60.70408163265305,1047.0
63,21.0,1132.0,-60.90816326530613,1047.0
64,21.0,1146.0,-62.33673469387756,1047.0
65,21.0,1187.0,-66.5204081632653,1047.0
66,22.0,1125.0,-60.193877551020414,1047.0
67,22.0,1086.0,-56.214285714285715,1047.0
68,22.0,1095.0,-57.13265306122451,1047.0
69,23.0,1231.0,-71.01020408163264,1047.0
70,23.0,1277.0,-75.70408163265306,1047.0
71,23.0,1243.0,-72.23469387755104,1047.0
72,24.0,1185.0,-66.31632653061226,1047.0
73,24.0,1158.0,-63.56122448979592,1047.0
74,24.0,1146.0,-62.33673469387755,1047.0
75,25.0,1142.0,-61.92857142857143,1047.0
76,25.0,1148.0,-62.540816326530624,1047.0
77,25.0,1139.0,-61.622448979591844,1047.0
78,26.0,1117.0,-59.37755102040817,1047.0
79,26.0,1096.0,-57.23469387755102,1047.0
80,26.0,1124.0,-60.09183673469387,1047.0
81,27.0,1154.0,-63.1530612244898,1047.0
82,27.0,1242.0,-72.13265306122449,1047.0
83,27.0,1142.0,-61.92857142857143,1047.0
84,28.0,1230.0,-70.90816326530611,1047.0
85,28.0,1194.0,-67.23469387755102,1047.0
86,28.0,1106.0,-58.255102040816354,1047.0
87,29.0,1067.0,-54.27551020408164,1047.0
88,29.0,1084.0,-56.010204081632665,1047.0
89,29.0,1250.0,-72.94897959183672,1047.0
90,30.0,1169.0,-64.68367346938776,1047.0
91,30.0,1157.0,-63.459183673469404,1047.0
92,30.0,1083.0,-55.90816326530613,1047.0
93,31.0,1194.0,-67.23469387755104,1047.0
94,31.0,1058.0,-53.357142857142875,1047.0
95,31.0,1150.0,-62.74489795918368,1047.0
96,32.0,1134.0,-61.11224489795919,1047.0
97,32.0,1279.0,-75.90816326530613,1047.0
98,32.0,1327.0,-80.80612244897962,1047.0
99,33.0,1315.0,-79.58163265306125,1047.0
100,33.0,1156.0,-63.35714285714285,1047.0
101,33.0,1109.0,-58.56122448979592,1047.0
102,34.0,1155.0,-63.25510204081635,1047.0
103,34.0,1127.0,-60.39795918367347,1047.0
104,34.0,1081.0,-55.70408163265306,1047.0
105,35.0,1107.0,-58.35714285714287,1047.0
106,35.0,1105.0,-58.15306122448979,1047.0
107,35.0,1146.0,-62.336734693877546,1047.0
108,36.0,1079.0,-55.5,1047.0
109,36.0,1137.0,-61.418367346938794,1047.0
110,36.0,1100.0,-57.64285714285715,1047.0
111,37.0,1098.0,-57.43877551020409,1047.0
112,37.0,1175.0,-65.29591836734693,1047.0
113,37.0,1128.0,-60.5,1047.0
114,38.0,1127.0,-60.39795918367346,1047.0
115,38.0,1069.0,-54.479591836734684,1047.0
116,38.0,1113.0,-58.969387755102055,1047.0
117,39.0,1047.0,-52.23469387755104,1047.0
118,39.0,1236.0,-71.52040816326533,1047.0
119,39.0,1087.0,-56.31632653061226,1047.0
120,40.0,1120.0,-59.683673469387756,1047.0
121,40.0,1152.0,-62.94897959183674,1047.0
